h_geocode_ct,S000,SA01_Pct,SA02_Pct,SA03_Pct,SE01_Pct,SE02_Pct,SE03_Pct,SI01_Pct,SI02_Pct,SI03_Pct
36061005900,1830,0.1557377049180328,0.578688524590164,0.26557377049180325,0.07486338797814207,0.08032786885245902,0.8448087431693989,0.022950819672131147,0.09453551912568306,0.8825136612021858
36061006000,1520,0.16644736842105262,0.6256578947368421,0.20789473684210527,0.04473684210526316,0.08157894736842106,0.8736842105263158,0.02236842105263158,0.08289473684210526,0.8947368421052632
36061006100,1677,0.2355396541443053,0.5587358378056052,0.20572450805008943,0.05963029218843172,0.09123434704830054,0.8491353607632678,0.02146690518783542,0.10316040548598689,0.8753726893261777
36061006200,1101,0.2579473206176203,0.5458673932788374,0.19618528610354224,0.06085376930063579,0.08628519527702089,0.8528610354223434,0.023614895549500452,0.07811080835603997,0.8982742960944596
36061006300,2225,0.23235955056179775,0.531685393258427,0.23595505617977527,0.07820224719101124,0.09258426966292135,0.8292134831460675,0.025168539325842697,0.09797752808988765,0.8768539325842697
36061006400,3217,0.2990363692881567,0.533416226297793,0.16754740441405036,0.04414050357475909,0.08113148896487411,0.8747280074603668,0.01616412806963009,0.09014609884986012,0.8936897730805098
36061006500,2063,0.3616093068347067,0.47164323800290836,0.16674745516238487,0.06204556471158507,0.0988851187590887,0.8390693165293263,0.027629665535627727,0.09500727096461464,0.8773630634997577
36061006600,3599,0.33620450125034734,0.5062517365934982,0.15754376215615448,0.06057238121700472,0.1125312586829675,0.8268963601000278,0.021950541817171435,0.10141706029452625,0.8766323978883023
36061006700,2135,0.34941451990632316,0.49414519906323184,0.15644028103044497,0.060421545667447306,0.09789227166276347,0.8416861826697892,0.03231850117096019,0.09180327868852459,0.8758782201405152
36061006800,2614,0.32402448355011476,0.504973221117062,0.17100229533282327,0.05814843152257077,0.07153787299158378,0.8703136954858455,0.023718439173680182,0.0784238714613619,0.8978576893649579
36061006900,1231,0.25345247766043866,0.5572705117790414,0.1892770105605199,0.05361494719740049,0.0958570268074736,0.8505280259951259,0.030056864337936636,0.10479285134037368,0.8651502843216897
