w_geocode_ct,S000,SA01_Pct,SA02_Pct,SA03_Pct,SE01_Pct,SE02_Pct,SE03_Pct,SI01_Pct,SI02_Pct,SI03_Pct
36081091900,802,0.09226932668329177,0.5349127182044888,0.37281795511221943,0.12094763092269327,0.2967581047381546,0.5822942643391521,0.1770573566084788,0.18079800498753118,0.64214463840399
36081092200,75,0.32,0.41333333333333333,0.26666666666666666,0.29333333333333333,0.36,0.3466666666666667,0.013333333333333334,0.2,0.7866666666666666
36081092500,630,0.14126984126984127,0.5857142857142857,0.273015873015873,0.20952380952380953,0.42063492063492064,0.36984126984126986,0.31746031746031744,0.1111111111111111,0.5714285714285714
36081092800,246,0.11382113821138211,0.5813008130081301,0.3048780487804878,0.17073170731707318,0.24796747967479674,0.5813008130081301,0.17479674796747968,0.2926829268292683,0.532520325203252
36081092900,2715,0.16058931860036832,0.6029465930018416,0.23646408839779007,0.06703499079189687,0.16648250460405156,0.7664825046040515,0.49244935543278084,0.16721915285451197,0.34033149171270716
36081093401,329,0.1762917933130699,0.5167173252279635,0.3069908814589666,0.2006079027355623,0.41641337386018235,0.3829787234042553,0.07598784194528875,0.12158054711246201,0.8024316109422492
36081093402,377,0.2440318302387268,0.5437665782493368,0.21220159151193635,0.1989389920424403,0.28116710875331563,0.519893899204244,0.013262599469496022,0.08222811671087533,0.9045092838196287
36081093800,1228,0.1791530944625407,0.5594462540716613,0.26140065146579805,0.11644951140065146,0.30618892508143325,0.5773615635179153,0.025244299674267102,0.14169381107491857,0.8330618892508144
36081093900,353,0.1359773371104816,0.5835694050991501,0.2804532577903683,0.11048158640226628,0.37393767705382436,0.5155807365439093,0.0764872521246459,0.8753541076487252,0.04815864022662889
36081094201,489,0.09815950920245399,0.556237218813906,0.3456032719836401,0.11042944785276074,0.3824130879345603,0.5071574642126789,0.2740286298568507,0.09202453987730061,0.6339468302658486
36081094202,715,0.25594405594405595,0.5622377622377622,0.18181818181818182,0.13146853146853146,0.35524475524475524,0.5132867132867133,0.02937062937062937,0.06853146853146853,0.9020979020979021
36081094203,264,0.2878787878787879,0.4962121212121212,0.2159090909090909,0.23484848484848486,0.45075757575757575,0.3143939393939394,0.022727272727272728,0.2537878787878788,0.7234848484848485
36081094500,3402,0.29394473838918284,0.4947089947089947,0.21134626690182245,0.12139917695473251,0.35714285714285715,0.5214579659024103,0.12375073486184597,0.4235743680188125,0.45267489711934156
36081094700,494,0.15587044534412955,0.5546558704453441,0.2894736842105263,0.08097165991902834,0.2874493927125506,0.631578947368421,0.3765182186234818,0.26720647773279355,0.3562753036437247
36081095400,668,0.09580838323353294,0.5913173652694611,0.312874251497006,0.07634730538922156,0.3248502994011976,0.5988023952095808,0.06287425149700598,0.2934131736526946,0.6437125748502994
36081096400,625,0.1472,0.6112,0.2416,0.064,0.296,0.64,0.0112,0.0736,0.9152
36081097202,116,0.07758620689655173,0.603448275862069,0.31896551724137934,0.0603448275862069,0.25,0.6896551724137931,0.0,0.06896551724137931,0.9310344827586207
36081097204,548,0.09306569343065693,0.5766423357664233,0.3302919708029197,0.060218978102189784,0.3722627737226277,0.5675182481751825,0.0,0.03832116788321168,0.9616788321167883
36081097205,46,0.13043478260869565,0.6304347826086957,0.2391304347826087,0.08695652173913043,0.391304347826087,0.5217391304347826,0.0,0.15217391304347827,0.8478260869565217
36081097206,160,0.09375,0.63125,0.275,0.025,0.28125,0.69375,0.0,0.0,1.0
36081097300,143,0.16783216783216784,0.5454545454545454,0.2867132867132867,0.07692307692307693,0.36363636363636365,0.5594405594405595,0.34265734265734266,0.13286713286713286,0.5244755244755245
